timestamp,content,title,author,board
2025-06-20 2:25:37,"""作者s9345 (Rock)看板Gossiping標題Re: [新聞] 中正紀念堂轉型正義 行政院：將成為「時間Fri Jun 20 02:25:37 2025
一樣的問題，只要到228就問過，
明明2016-2024年國會過半為什麼不修法？

只要把「國立中正紀念堂管理處組織法」修掉就好啦，
一定要等到現在國會沒過半才願意做這些事嗎？？

轉型正義說要動全臺的中正路很難改，但在臺北市首都又在市中心那麼大的一棟建築物你
不動？？？

而且在文化部轄下，每年還要編預算維護，這個怎麼不出來吵一下呢？？？？

時間一到再到自由廣場前面宣布我們反對威權…""",Re: [新聞] 中正紀念堂轉型正義 行政院：將成為「,s9345,Gossiping
2025-06-20 2:32:32,"""作者tamama000 (GrandFatHouse崇皇肥肥)看板Gossiping標題[問卦] 擠不出的黑頭只能用工具戳嗎時間Fri Jun 20 02:32:32 2025
乳蹄

安安大家好

窩乃上位大肥 肥肥宅



就是R 黑頭有的有開口可以直接擠出來

有的沒有 就是閉塞型的 網路上的視頻

都有尖尖的刺 或是鑷子 一戳一拉就出來了

但是很容易流血 不知道有沒有其他辦法

用酸類藥膏融掉表面會不會花很久的時間

皮膚又不能曬太陽感覺很不方便

尖尖瓦嘎奶！








有沒有八卦？！


肥肥宅我 很 好 奇 ！！ ！



ˋ△ˊ ˋ△ˊ ˋ△ˊ ˋ△ˊ ˋ△ˊ ˋ△ˊ ! ! !""",[問卦] 擠不出的黑頭只能用工具戳嗎,tamama000,Gossiping
2025-06-20 2:42:22,"""作者markban (馬克白)看板Gossiping標題[問卦] 以色列會後悔打伊朗嗎？時間Fri Jun 20 02:42:22 2025
伊朗每年喊要做核彈

喊了三十年也沒進展

以色列沒事跑去炸光

那些親美派伊朗憨憨大鬍子

現在變成以色列也被伊朗炸成類加薩

以色列會後悔

沒事去炸光那些剩一張嘴的伊朗親美派嗎

你各位怎麼看==""",[問卦] 以色列會後悔打伊朗嗎？,markban,Gossiping
2025-06-20 2:42:36,"""作者minche ()看板Gossiping標題[問卦] 不覺得人類很辛苦嗎？時間Fri Jun 20 02:42:36 2025



出生以後要經歷一段升學競爭就業，領了薪水還要去思考怎麼分配資源

吃個東西變胖以後要花一大段時間減肥，短時間內吃太精緻的東西，

前陣子努力的成果就一瞬間不見

然後慢慢地等死，

人類真的好辛苦喔，有人跟我一樣想法嗎""",[問卦] 不覺得人類很辛苦嗎？,minche,Gossiping
2025-06-20 2:44:52,"""作者sss1234 (簡簡單單)看板Gossiping標題[問卦] 中正紀念堂廢了，觀光少90%，你ok?時間Fri Jun 20 02:44:52 2025

中正紀念堂

外國人來台旅遊最大賣點的景點

現在準備廢了

來台灣觀光將少90%旅客

你ok嗎？

有卦？""",[問卦] 中正紀念堂廢了，觀光少90%，你ok?,sss1234,Gossiping
2025-06-20 2:45:18,"""作者globalera (a balanced life)看板Gossiping標題[問卦] 台北有沒有吃飯不會吃到汗流浹背的餐廳?時間Fri Jun 20 02:45:18 2025

最近天氣越來越熱，有時在外午餐或晚餐，雖然店家有開冷氣，

不過可能沒有開得很涼，或食物比較燙，吃完總是汗流浹背或至少有流汗。

大台北地區有味道不錯、環境又舒適且價格合理的非連鎖店餐廳嗎?""",[問卦] 台北有沒有吃飯不會吃到汗流浹背的餐廳?,globalera,Gossiping
2025-06-20 2:47:42,"""作者UltraSeven (神奇小熊在我家)看板Gossiping標題Re: [新聞] 中正紀念堂轉型正義 行政院：將成為「時間Fri Jun 20 02:47:42 2025
那麼醜的造型
那麼醜的配色

台北市最大靈堂
居然還不拆掉 根本市容殺手
會當成觀光景點的外國人
肯定根本搞不清楚甚麼是中華文化
甚麼是符號象徵 甚麼是偶像崇拜

東歐劇變之時
多國共黨領導人雕像被推倒
台灣就只是拆個雕像
某黨就開始7pupu
現在居然還有52席

我是不曉得到底是要教育誰
教育個大頭啦""",Re: [新聞] 中正紀念堂轉型正義 行政院：將成為「,UltraSeven,Gossiping
2025-06-20 2:50:11,"""作者tose4433 (Remax)看板Gossiping標題[問卦] 這個東北妹假裝自己台北的，你ok嗎？時間Fri Jun 20 02:50:11 2025
如t

https://youtube.com/shorts/OqOqpsnAm6Y?si=cVQtsnDglFeyiqOR

明明是東北的

中國東北地區，簡稱中國東北或東北，在近代曾經被稱作關東、滿洲或東三省，是中國的
一個地理大區。

現在中華人民共和國的東北地區，廣義上指遼寧省、吉林省、黑龍江省以及內蒙古自治區
的呼倫貝爾市、興安盟、赤峰市、通遼市所構成的地區，相當於大清帝國的東三省；狹義
則僅包括現遼寧、吉林、黑龍江在內，即為東北三省。土地面積為162萬平方公里，占全
國國土面積的14%，2010年國民生產總值總量3兆3,367億元，占全國的8.38%，人口1.2億
，占中華人民共和國總人口的9.18%[1][需要較佳來源]。""",[問卦] 這個東北妹假裝自己台北的，你ok嗎？,tose4433,Gossiping
2025-06-20 2:55:04,"""作者yeay (非心)看板Gossiping標題[問卦] 「王建民純靠運氣」影片內容真假？時間Fri Jun 20 02:55:04 2025

剛剛在youtube看到一個影片，
裡面說到一個韓國記者批評王建民，
然後朴贊浩出來批判記者，
連同韓國其他運動員也發文批評。
觀看數多，而且留言多，
不過在網路上卻查不到其他相關訊息，
這個是內容是真是假？
https://youtu.be/O7laRk91kms""",[問卦] 「王建民純靠運氣」影片內容真假？,yeay,Gossiping
2025-06-20 2:55:45,"""作者DOOHDLIHC (董事長)看板Gossiping標題Re: [問卦] 吳宗憲進軍大陸怎麼那麼不順利？時間Fri Jun 20 02:55:45 2025
※ 引述《Dinenger (低能兒)》之銘言：
: 當年好歹也是一個天王
: 進軍大陸
: 碰一鼻子灰
: 到現在
: 也是混不出一點名堂


這我知道

除了中國那邊的主持人口條比吳宗憲好的比比皆是

臨場反應的能力他們也有

但是完全沒有憲哥這種的

不是憲哥差 只能說他們吃不慣


好比費玉清去那邊黃色笑話跟廢了沒兩樣

他在那邊也會講可是就是滿場尷尬

他們聽得懂但不敢太表現出來 不像台灣人會笑很爽

還好小哥還會唱歌

所以很受歡迎



而吳宗憲現在個歌聲跟以前比差太多了

他專職唱歌的時期聲音清亮很多

不要說吳宗憲了

連小s在那邊也發展失敗



大概是這樣""",Re: [問卦] 吳宗憲進軍大陸怎麼那麼不順利？,DOOHDLIHC,Gossiping
